Date_Of_Stop,work_zone,vehicle_type,vehicle_year,vehicle_color,race,gender,driver_state,speed,speed_limit,speed_over,percentage_over_limit,hour_of_day
12/30/2017,No,02 - Automobile,2000,SILVER,WHITE,F,MD,63,40,23,57.5,9
12/30/2017,No,02 - Automobile,2012,GRAY,ASIAN,M,MD,52,30,22,73.33333,15
12/30/2017,No,02 - Automobile,1999,GOLD,WHITE,F,MD,50,30,20,66.66667,15
12/30/2017,No,02 - Automobile,2001,RED,HISPANIC,M,MD,45,30,15,50,15
12/30/2017,No,02 - Automobile,2015,SILVER,ASIAN,F,MD,52,30,22,73.33333,16
12/30/2017,No,02 - Automobile,2016,BLACK,BLACK,F,MD,50,30,20,66.66667,16
12/30/2017,No,05 - Light Duty Truck,2016,SILVER,ASIAN,M,MD,50,30,20,66.66667,16
12/30/2017,No,02 - Automobile,2008,GREEN,WHITE,M,MD,51,30,21,70,16
12/30/2017,No,02 - Automobile,2007,SILVER,BLACK,F,MD,48,30,18,60,16
12/29/2017,No,02 - Automobile,2014,BRONZE,WHITE,M,MD,45,30,15,50,16
12/29/2017,No,02 - Automobile,2014,BRONZE,WHITE,M,MD,48,30,18,60,17
12/29/2017,No,02 - Automobile,2014,BRONZE,WHITE,M,MD,45,30,15,50,17
12/29/2017,No,02 - Automobile,1990,RED,HISPANIC,M,MD,45,30,15,50,17
12/29/2017,No,02 - Automobile,2003,WHITE,BLACK,F,GA,45,30,15,50,17
12/29/2017,No,02 - Automobile,2003,WHITE,BLACK,F,GA,52,30,22,73.33333,17
12/29/2017,No,02 - Automobile,2014,WHITE,WHITE,M,MD,67,50,17,34,22
12/29/2017,No,02 - Automobile,1999,RED,BLACK,M,MS,47,40,7,17.5,4
12/29/2017,No,02 - Automobile,2014,WHITE,WHITE,M,MD,45,35,10,28.57143,20
12/29/2017,No,02 - Automobile,1999,RED,BLACK,M,MS,49,40,9,22.5,7
12/29/2017,No,02 - Automobile,1999,RED,BLACK,M,MS,49,40,9,22.5,8
12/29/2017,No,02 - Automobile,2016,BLACK,BLACK,M,MD,49,40,9,22.5,8
12/29/2017,No,02 - Automobile,2005,BEIGE,HISPANIC,F,MD,64,55,9,16.36364,10
12/29/2017,No,02 - Automobile,2013,WHITE,WHITE,M,MD,49,35,14,40,20
12/29/2017,No,02 - Automobile,2006,"BLUE, DARK",WHITE,M,MD,51,35,16,45.71429,23
12/29/2017,No,02 - Automobile,2015,SILVER,BLACK,F,MD,74,55,19,34.54545,4
12/29/2017,No,02 - Automobile,2011,WHITE,BLACK,M,MD,54,35,19,54.28571,20
12/29/2017,No,02 - Automobile,2015,SILVER,BLACK,F,MD,70,40,30,75,6
12/29/2017,No,02 - Automobile,2015,SILVER,BLACK,F,MD,54,45,9,20,5
12/29/2017,No,02 - Automobile,2015,SILVER,BLACK,F,MD,45,30,15,50,10
12/29/2017,No,02 - Automobile,2014,GRAY,WHITE,F,MD,69,60,9,15,11
12/29/2017,No,01 - Motorcycle,2004,RED,HISPANIC,F,MD,69,50,19,38,8
12/29/2017,No,01 - Motorcycle,2004,RED,HISPANIC,F,MD,69,50,19,38,9
